ID_Poliza,Fecha_Contratacion,Producto,Canal_Venta,Prima_Anual,Monto_Asegurado,Cliente_Edad,Cliente_Sexo,Cliente_Ingreso_Mensual,Siniestro_Reportado,Monto_Siniestro,Estado_Poliza,Región
POL00045,2024-03-02,Vida Premium,Call Center,1021.22,186883.26,41,Femenino,3306.46,No,0.0,Activa,Antioquia
POL00046,2022-06-23,Vida Básico,Broker,1279.12,144540.56,49,Femenino,1000.0,No,0.0,Activa,Antioquia
POL00047,2025-01-22,Protección Familiar,Broker,653.25,94068.0,66,Masculino,2484.78,No,0.0,Activa,Santander
POL00048,2024-01-08,Protección Familiar,Digital,892.05,143620.05,56,Masculino,1197.47,No,0.0,Activa,Santander
POL00049,2023-04-22,Vida Premium,Broker,1003.47,87301.89,66,Masculino,3422.75,No,0.0,Activa,Bogotá
POL00050,2025-05-23,Vida Premium,Broker,822.29,95385.64,40,Femenino,4073.3,Sí,26652.95,Vencida,Valle del Cauca
POL00051,2024-03-10,Vida Premium,Broker,1344.1,43011.2,19,Femenino,1000.0,No,0.0,Activa,Bogotá
POL00052,2023-02-24,Vida Plus,Digital,555.06,49955.399999999994,23,Masculino,4420.76,No,0.0,Activa,Valle del Cauca
POL00053,2024-04-14,Protección Familiar,Agente,699.53,23084.489999999998,28,Femenino,1913.75,No,0.0,Activa,Santander
POL00054,2024-05-13,Vida Básico,Agente,479.44,22533.68,55,Femenino,5183.35,Sí,16108.11,Activa,Valle del Cauca
POL00055,2024-10-10,Vida Básico,Agente,1063.05,140322.6,28,Masculino,4114.91,No,0.0,Activa,Atlántico
POL00056,2024-01-04,Vida Plus,Agente,730.11,67900.23,26,Masculino,2311.36,No,0.0,Cancelada,Antioquia
POL00057,2024-03-09,Vida Plus,Digital,1157.25,165486.75,46,Masculino,3000.25,No,0.0,Activa,Atlántico
POL00058,2025-01-26,Vida Premium,Broker,790.34,79824.34,53,Masculino,3510.97,No,0.0,Activa,Atlántico
POL00059,2024-01-31,Protección Familiar,Agente,819.02,140052.41999999998,36,Femenino,2635.64,No,0.0,Activa,Antioquia
POL00060,2025-05-16,Vida Plus,Broker,1364.98,161067.64,58,Femenino,2396.69,No,0.0,Activa,Valle del Cauca
POL00061,2023-05-02,Vida Plus,Agente,1177.94,230876.24000000002,35,Masculino,4078.37,No,0.0,Activa,Atlántico
POL00062,2022-11-14,Protección Familiar,Broker,1066.84,107750.84,74,Femenino,3071.91,No,0.0,Activa,Atlántico
POL00063,2023-09-11,Vida Básico,Call Center,1292.14,142135.40000000002,33,Femenino,3772.95,No,0.0,Cancelada,Cundinamarca
POL00064,2025-01-16,Vida Plus,Agente,838.24,132441.92,66,Femenino,3110.61,No,0.0,Vencida,Valle del Cauca
POL00065,2024-03-02,Vida Plus,Call Center,945.73,183471.62,29,Masculino,4700.58,No,0.0,Vencida,Bogotá
POL00066,2022-09-12,Vida Premium,Broker,503.86,39804.94,72,Masculino,2015.66,No,0.0,Activa,Cundinamarca
POL00067,2023-07-07,Protección Familiar,Call Center,931.73,157462.37,65,Femenino,3630.45,No,0.0,Cancelada,Antioquia
POL00068,2022-08-26,Vida Plus,Agente,1265.12,217600.63999999998,71,Masculino,4241.17,Sí,22888.21,Vencida,Valle del Cauca
POL00069,2024-06-15,Vida Premium,Call Center,1230.81,86156.7,25,Masculino,4283.66,Sí,52126.61,Cancelada,Bogotá
POL00070,2022-12-18,Protección Familiar,Broker,685.69,89825.39000000001,65,Masculino,3851.69,No,0.0,Activa,Cundinamarca
POL00071,2023-07-08,Vida Plus,Call Center,571.82,106930.34000000001,46,Femenino,2317.54,Sí,54498.78,Activa,Valle del Cauca
POL00072,2022-08-12,Protección Familiar,Call Center,1096.97,91048.51000000001,52,Masculino,2070.44,No,0.0,Activa,Santander
POL00073,2023-01-13,Vida Premium,Broker,785.0,80070.0,50,Femenino,3494.17,No,0.0,Activa,Bogotá
POL00074,2024-11-14,Vida Plus,Call Center,1280.52,179272.8,65,Femenino,4423.97,No,0.0,Activa,Atlántico
POL00075,2023-11-03,Protección Familiar,Broker,1231.48,168712.76,24,Masculino,2348.13,No,0.0,Activa,Valle del Cauca
POL00076,2024-02-26,Vida Básico,Broker,673.88,31672.36,65,Masculino,3205.53,No,0.0,Vencida,Atlántico
POL00077,2023-09-09,Vida Plus,Broker,450.51,9010.2,72,Masculino,4147.53,No,0.0,Activa,Atlántico
POL00078,2024-04-16,Vida Plus,Broker,828.12,141608.52,55,Femenino,4554.41,No,0.0,Activa,Valle del Cauca
POL00079,2023-05-23,Vida Premium,Agente,645.79,64579.0,44,Masculino,1176.35,No,0.0,Cancelada,Cundinamarca
POL00080,2022-10-03,Vida Básico,Digital,1716.05,223086.5,50,Masculino,3182.41,No,0.0,Activa,Cundinamarca
POL00081,2022-11-10,Vida Plus,Broker,428.76,15864.119999999999,22,Masculino,3494.36,Sí,11214.32,Activa,Antioquia
POL00082,2025-02-05,Vida Básico,Call Center,827.06,62029.49999999999,66,Femenino,1360.1,No,0.0,Activa,Santander
POL00083,2022-12-19,Vida Plus,Broker,1122.1,187390.69999999998,23,Femenino,3351.04,No,0.0,Activa,Cundinamarca
POL00084,2023-09-18,Protección Familiar,Call Center,915.19,138193.69,70,Masculino,3903.68,Sí,15035.65,Activa,Valle del Cauca
POL00085,2023-01-13,Vida Básico,Call Center,655.94,118725.14000000001,38,Masculino,2768.75,No,0.0,Activa,Santander
POL00086,2023-09-19,Vida Básico,Broker,526.28,46312.64,20,Masculino,3756.91,No,0.0,Activa,Atlántico
POL00087,2025-01-14,Vida Básico,Agente,1316.88,30288.24,48,Femenino,2122.74,No,0.0,Cancelada,Santander
POL00088,2023-01-30,Vida Básico,Call Center,545.09,94300.57,44,Masculino,2269.4,No,0.0,Activa,Santander
POL00089,2023-11-01,Vida Premium,Agente,1216.14,96075.06000000001,57,Masculino,4799.66,No,0.0,Activa,Cundinamarca
POL00090,2022-10-12,Protección Familiar,Call Center,1040.32,181015.68,65,Femenino,1337.73,Sí,78888.01,Activa,Antioquia
POL00091,2022-11-14,Vida Premium,Agente,2055.82,343321.94,67,Masculino,4118.06,No,0.0,Cancelada,Valle del Cauca
POL00092,2024-06-03,Vida Plus,Broker,861.68,148208.96,62,Masculino,2832.87,No,0.0,Activa,Antioquia
POL00093,2023-02-09,Protección Familiar,Agente,449.77,20689.42,68,Femenino,2116.92,Sí,6474.52,Cancelada,Antioquia
POL00094,2024-09-06,Protección Familiar,Digital,1260.41,199144.78,40,Masculino,2059.84,No,0.0,Activa,Atlántico
POL00095,2022-10-08,Vida Básico,Call Center,924.06,30493.98,39,Femenino,3002.56,No,0.0,Vencida,Antioquia
POL00096,2023-09-10,Protección Familiar,Digital,1027.81,128476.25,69,Masculino,1110.15,No,0.0,Activa,Bogotá
POL00097,2023-12-10,Vida Básico,Digital,1103.88,73959.96,25,Masculino,2641.64,No,0.0,Cancelada,Bogotá
POL00098,2023-05-30,Vida Plus,Agente,854.63,163234.33,22,Masculino,4952.48,No,0.0,Vencida,Antioquia
POL00099,2024-06-06,Vida Premium,Broker,1453.02,69744.95999999999,49,Masculino,6366.84,No,0.0,Cancelada,Santander
POL00100,2023-02-17,Vida Premium,Digital,754.13,39214.76,72,Masculino,3371.37,Sí,19832.81,Activa,Atlántico
POL00101,2023-07-11,Vida Premium,Call Center,726.52,26881.239999999998,72,Masculino,2620.77,No,0.0,Cancelada,Santander
POL00102,2022-09-09,Vida Básico,Call Center,696.78,48774.6,40,Masculino,5637.55,No,0.0,Activa,Atlántico
POL00103,2024-02-06,Vida Premium,Call Center,804.65,149664.9,18,Masculino,3098.9,No,0.0,Activa,Atlántico
POL00104,2023-05-24,Vida Básico,Call Center,838.62,66250.98,51,Masculino,3116.77,No,0.0,Activa,Atlántico
POL00105,2024-06-29,Vida Básico,Broker,1175.36,82275.2,42,Femenino,1986.94,No,0.0,Activa,Bogotá
POL00106,2025-05-08,Vida Plus,Agente,968.05,129718.7,33,Femenino,6061.57,No,0.0,Activa,Santander
POL00107,2024-10-28,Vida Plus,Broker,1453.11,130779.9,22,Masculino,1907.8,No,0.0,Activa,Santander
POL00108,2023-08-11,Vida Plus,Digital,968.69,115274.11,29,Femenino,2079.71,No,0.0,Activa,Bogotá
POL00109,2024-05-17,Vida Plus,Agente,1132.39,45295.600000000006,39,Masculino,4032.58,No,0.0,Cancelada,Valle del Cauca
POL00110,2022-09-09,Vida Premium,Call Center,1229.04,143797.68,29,Femenino,2840.9,Sí,69495.65,Activa,Valle del Cauca
POL00111,2024-04-16,Protección Familiar,Agente,470.96,41915.439999999995,54,Masculino,5458.89,No,0.0,Activa,Valle del Cauca
POL00112,2023-12-25,Vida Básico,Broker,1057.38,172352.94000000003,22,Femenino,3110.73,No,0.0,Vencida,Cundinamarca
POL00113,2025-02-17,Protección Familiar,Agente,1604.4,147604.80000000002,27,Masculino,3570.21,No,0.0,Vencida,Santander
POL00114,2024-02-27,Vida Básico,Broker,1024.16,45063.04,18,Femenino,5820.25,No,0.0,Activa,Cundinamarca
POL00115,2024-09-24,Vida Básico,Digital,719.93,83511.87999999999,33,Femenino,3738.87,No,0.0,Activa,Antioquia
POL00116,2023-03-18,Vida Plus,Digital,1177.87,164901.8,66,Femenino,3912.88,No,0.0,Activa,Atlántico
POL00117,2025-05-21,Vida Básico,Agente,1284.16,32104.000000000004,37,Masculino,1223.15,No,0.0,Activa,Cundinamarca
POL00118,2023-07-08,Vida Básico,Broker,314.37,33951.96,50,Masculino,6059.64,Sí,32257.25,Activa,Bogotá
POL00119,2025-06-05,Vida Plus,Agente,1218.19,75527.78,20,Femenino,4101.71,No,0.0,Activa,Antioquia
POL00120,2022-06-15,Vida Premium,Broker,713.19,78450.90000000001,60,Masculino,3837.19,No,0.0,Cancelada,Santander
POL00121,2022-11-18,Vida Premium,Digital,1371.03,248156.43,34,Masculino,2113.38,No,0.0,Cancelada,Antioquia
POL00122,2024-11-19,Vida Premium,Call Center,793.35,34114.05,27,Femenino,2753.32,No,0.0,Activa,Santander
POL00123,2023-09-29,Protección Familiar,Broker,844.83,117431.37000000001,70,Masculino,4135.32,No,0.0,Activa,Valle del Cauca
POL00124,2024-09-25,Vida Plus,Broker,1088.89,127400.13,73,Masculino,4475.43,No,0.0,Activa,Bogotá
POL00125,2023-03-31,Vida Plus,Agente,1316.87,167242.49,74,Femenino,1000.0,No,0.0,Activa,Valle del Cauca
POL00126,2025-06-10,Vida Básico,Agente,533.83,23488.52,41,Masculino,1354.79,No,0.0,Vencida,Bogotá
POL00127,2022-11-20,Vida Plus,Broker,968.69,109461.97,56,Masculino,4752.41,No,0.0,Activa,Atlántico
POL00128,2024-05-07,Vida Básico,Digital,1229.63,35659.270000000004,49,Femenino,3238.78,No,0.0,Activa,Santander
POL00129,2023-04-29,Vida Plus,Call Center,1137.18,39801.3,30,Femenino,2464.86,No,0.0,Activa,Santander
POL00130,2022-10-05,Protección Familiar,Digital,1179.28,36557.68,47,Masculino,3514.58,No,0.0,Activa,Cundinamarca
POL00131,2024-08-01,Protección Familiar,Agente,647.18,75072.87999999999,65,Masculino,1646.0,No,0.0,Activa,Atlántico
POL00132,2025-05-17,Vida Plus,Call Center,860.96,156694.72,36,Femenino,3889.0,Sí,149202.08,Activa,Bogotá
POL00133,2023-01-07,Protección Familiar,Agente,895.72,137045.16,36,Masculino,2476.09,No,0.0,Activa,Santander
POL00134,2024-06-17,Vida Plus,Digital,535.74,49288.08,22,Femenino,2292.78,No,0.0,Activa,Antioquia
POL00135,2023-09-14,Vida Premium,Call Center,1100.12,172718.84,38,Femenino,4424.81,No,0.0,Activa,Bogotá
POL00136,2022-07-16,Protección Familiar,Digital,1021.37,34726.58,74,Masculino,5676.4,No,0.0,Activa,Bogotá
POL00137,2022-08-13,Vida Básico,Broker,730.88,31427.84,64,Femenino,3995.52,No,0.0,Activa,Atlántico
POL00138,2023-05-16,Vida Premium,Agente,918.07,111086.47,61,Femenino,3566.69,No,0.0,Cancelada,Cundinamarca
POL00139,2024-09-09,Vida Básico,Call Center,961.15,159550.9,63,Masculino,2980.04,No,0.0,Vencida,Cundinamarca
POL00140,2024-01-28,Vida Plus,Call Center,923.7,171808.2,67,Femenino,1602.02,No,0.0,Activa,Valle del Cauca
POL00141,2025-06-02,Vida Básico,Broker,477.76,61153.28,25,Femenino,1762.3,Sí,50641.36,Activa,Santander
POL00142,2024-01-25,Vida Premium,Call Center,835.97,148802.66,24,Masculino,2637.87,No,0.0,Cancelada,Antioquia
POL00143,2024-09-23,Vida Premium,Agente,1371.01,61695.45,61,Masculino,1055.51,No,0.0,Activa,Cundinamarca
POL00144,2022-10-31,Vida Básico,Call Center,337.27,36762.43,43,Femenino,2630.8,No,0.0,Cancelada,Santander
POL00145,2024-04-12,Vida Plus,Broker,813.4,44737.0,62,Masculino,3477.78,No,0.0,Activa,Cundinamarca
POL00146,2022-07-19,Vida Básico,Agente,1131.26,119913.56,37,Femenino,5025.37,No,0.0,Activa,Atlántico
POL00147,2023-11-20,Vida Plus,Digital,474.01,40290.85,30,Masculino,2852.31,No,0.0,Vencida,Atlántico
POL00148,2023-10-20,Vida Plus,Broker,646.77,94428.42,66,Femenino,3568.9,No,0.0,Activa,Bogotá
POL00149,2023-06-29,Vida Básico,Agente,1195.05,95604.0,70,Femenino,3583.58,No,0.0,Activa,Atlántico
POL00150,2023-11-10,Protección Familiar,Digital,985.55,86728.4,28,Femenino,3298.32,No,0.0,Activa,Antioquia
POL00151,2022-08-22,Vida Básico,Digital,1049.4,118582.20000000001,36,Femenino,3529.41,No,0.0,Activa,Antioquia
POL00152,2024-06-15,Vida Premium,Call Center,609.87,34152.72,58,Femenino,2657.82,No,0.0,Activa,Antioquia
POL00153,2024-10-13,Vida Básico,Digital,1444.83,255734.90999999997,18,Femenino,4940.49,No,0.0,Activa,Antioquia
POL00154,2024-02-11,Protección Familiar,Agente,962.85,23108.4,33,Masculino,3940.29,No,0.0,Activa,Bogotá
POL00155,2024-03-13,Vida Premium,Agente,657.51,31560.48,27,Masculino,6127.76,No,0.0,Activa,Bogotá
POL00156,2022-06-19,Vida Básico,Digital,587.74,81108.12,25,Femenino,4055.27,No,0.0,Cancelada,Cundinamarca
POL00157,2024-03-05,Vida Premium,Digital,356.96,44976.96,25,Masculino,4739.12,No,0.0,Activa,Atlántico
POL00158,2024-03-18,Protección Familiar,Agente,668.64,75556.31999999999,45,Masculino,1909.27,No,0.0,Cancelada,Valle del Cauca
POL00159,2025-02-25,Vida Premium,Agente,1462.85,236981.69999999998,44,Masculino,3910.11,No,0.0,Cancelada,Atlántico
POL00160,2025-02-13,Vida Básico,Broker,452.22,21706.56,50,Femenino,5573.3,No,0.0,Activa,Cundinamarca
POL00161,2024-01-08,Vida Básico,Digital,1343.0,128928.0,65,Femenino,4390.36,No,0.0,Activa,Valle del Cauca
POL00162,2023-05-19,Vida Plus,Call Center,956.88,189462.24,19,Femenino,2021.92,No,0.0,Activa,Valle del Cauca
POL00163,2024-06-19,Vida Premium,Broker,759.25,146535.25,73,Masculino,4915.33,No,0.0,Activa,Antioquia
POL00164,2023-04-15,Protección Familiar,Call Center,1330.86,158372.34,49,Femenino,2761.06,No,0.0,Activa,Bogotá
POL00165,2023-12-30,Vida Premium,Digital,932.96,23324.0,44,Femenino,2667.02,No,0.0,Activa,Atlántico
POL00166,2025-05-15,Vida Plus,Digital,720.19,140437.05000000002,58,Femenino,1586.69,No,0.0,Activa,Atlántico
POL00167,2024-02-18,Vida Plus,Digital,754.69,141881.72,65,Masculino,3762.42,Sí,78142.24,Activa,Valle del Cauca
POL00168,2025-01-27,Vida Premium,Call Center,914.09,117003.52,22,Femenino,3506.29,No,0.0,Activa,Antioquia
POL00169,2025-01-21,Protección Familiar,Digital,1143.86,136119.34,54,Masculino,4608.98,No,0.0,Cancelada,Bogotá
POL00170,2025-04-19,Vida Plus,Agente,420.26,61778.22,36,Masculino,3124.37,No,0.0,Cancelada,Valle del Cauca
POL00171,2025-02-20,Vida Premium,Call Center,619.13,55721.7,63,Femenino,2481.78,No,0.0,Activa,Santander
POL00172,2025-04-22,Vida Plus,Broker,562.61,57948.83,21,Masculino,4353.94,No,0.0,Vencida,Atlántico
POL00173,2025-02-02,Vida Básico,Digital,772.19,146716.1,49,Masculino,3498.04,No,0.0,Activa,Bogotá
POL00174,2023-08-01,Protección Familiar,Agente,1365.38,54615.200000000004,71,Masculino,3637.83,No,0.0,Activa,Antioquia
POL00175,2025-06-07,Protección Familiar,Call Center,1661.78,270870.14,29,Masculino,2824.09,No,0.0,Activa,Valle del Cauca
POL00176,2025-03-30,Vida Básico,Agente,1310.59,103536.61,40,Masculino,4274.45,Sí,74377.63,Activa,Valle del Cauca
POL00177,2024-05-06,Vida Premium,Call Center,1140.8,110657.59999999999,68,Masculino,3780.16,No,0.0,Activa,Valle del Cauca
POL00178,2024-07-31,Vida Plus,Agente,372.38,17874.239999999998,51,Femenino,4770.11,No,0.0,Cancelada,Cundinamarca
POL00179,2023-12-30,Vida Básico,Digital,934.92,129953.87999999999,47,Femenino,2457.7,No,0.0,Activa,Santander
POL00180,2025-04-03,Protección Familiar,Broker,248.74,33082.42,51,Masculino,3740.16,Sí,27006.87,Activa,Santander
POL00181,2024-01-12,Vida Premium,Call Center,999.21,100920.21,47,Femenino,4677.86,No,0.0,Vencida,Cundinamarca
POL00182,2023-11-03,Vida Básico,Agente,1325.9,172367.0,22,Femenino,3266.4,No,0.0,Activa,Bogotá
POL00183,2023-04-09,Protección Familiar,Call Center,883.34,51233.72,34,Femenino,1455.94,No,0.0,Activa,Valle del Cauca
POL00184,2024-09-19,Vida Plus,Agente,755.6,142808.4,41,Masculino,3653.65,No,0.0,Cancelada,Bogotá
POL00185,2022-12-05,Vida Básico,Broker,467.64,90722.16,19,Masculino,4847.21,No,0.0,Cancelada,Bogotá
POL00186,2025-04-02,Vida Premium,Digital,281.24,34873.76,65,Masculino,4082.11,No,0.0,Vencida,Antioquia
POL00187,2023-10-26,Vida Plus,Agente,618.04,83435.4,40,Femenino,3939.92,Sí,19265.84,Cancelada,Atlántico
POL00188,2024-06-11,Vida Básico,Agente,829.4,76304.8,73,Femenino,4696.54,No,0.0,Vencida,Valle del Cauca
POL00189,2023-07-29,Protección Familiar,Broker,1051.21,80943.17,44,Masculino,2317.13,No,0.0,Activa,Atlántico
POL00190,2023-07-04,Vida Plus,Broker,732.29,76890.45,68,Femenino,2521.4,No,0.0,Activa,Antioquia
POL00191,2024-03-10,Vida Básico,Call Center,1614.49,142075.12,38,Masculino,5519.51,No,0.0,Activa,Atlántico
POL00192,2023-07-14,Vida Premium,Agente,540.64,27572.64,29,Femenino,2835.62,No,0.0,Activa,Santander
POL00193,2022-09-10,Vida Básico,Call Center,551.9,93271.09999999999,31,Masculino,2037.81,No,0.0,Activa,Antioquia
POL00194,2025-02-06,Vida Plus,Call Center,1261.39,131184.56,43,Femenino,4117.51,No,0.0,Activa,Atlántico
POL00195,2024-10-07,Protección Familiar,Call Center,912.5,67525.0,64,Femenino,2028.74,No,0.0,Activa,Valle del Cauca
POL00196,2023-07-27,Vida Premium,Agente,833.71,88373.26000000001,65,Masculino,3365.21,No,0.0,Cancelada,Bogotá
POL00197,2024-10-25,Vida Plus,Digital,667.43,118135.10999999999,18,Femenino,3717.81,No,0.0,Activa,Antioquia
POL00198,2025-03-12,Vida Plus,Call Center,531.58,52626.420000000006,69,Masculino,2843.26,No,0.0,Cancelada,Cundinamarca
POL00199,2024-12-29,Vida Básico,Digital,665.9,105212.2,39,Masculino,4422.47,No,0.0,Cancelada,Cundinamarca
POL00200,2022-08-14,Protección Familiar,Agente,825.29,146901.62,31,Femenino,5473.96,No,0.0,Cancelada,Antioquia
POL00201,2025-06-02,Vida Básico,Broker,1041.31,47900.259999999995,31,Masculino,4540.22,Sí,37158.73,Activa,Bogotá
POL00202,2022-07-06,Protección Familiar,Agente,1170.56,194312.96,62,Femenino,3070.15,No,0.0,Activa,Atlántico
POL00203,2023-12-03,Vida Premium,Digital,628.64,96810.56,68,Femenino,2527.39,No,0.0,Activa,Antioquia
POL00204,2022-09-13,Vida Básico,Digital,512.69,84081.16,54,Femenino,3811.91,Sí,71484.32,Activa,Atlántico
POL00205,2025-05-17,Vida Plus,Broker,794.76,97755.48,39,Masculino,2572.13,No,0.0,Activa,Bogotá
POL00206,2024-03-29,Vida Plus,Digital,266.79,14406.660000000002,34,Femenino,3080.26,No,0.0,Cancelada,Atlántico
POL00207,2023-06-16,Vida Premium,Call Center,1343.98,201597.0,27,Femenino,3490.43,No,0.0,Activa,Antioquia
POL00208,2022-07-01,Vida Premium,Broker,1066.69,72534.92,64,Masculino,5375.38,No,0.0,Activa,Bogotá
POL00209,2023-10-07,Vida Plus,Agente,1374.61,160829.37,64,Femenino,2971.39,No,0.0,Activa,Cundinamarca
POL00210,2025-04-04,Vida Premium,Digital,559.24,14540.24,36,Femenino,1672.31,No,0.0,Activa,Santander
POL00211,2025-02-07,Protección Familiar,Agente,1472.82,154646.1,69,Masculino,4611.41,Sí,58288.49,Activa,Valle del Cauca
POL00212,2023-05-23,Protección Familiar,Digital,841.72,41244.28,62,Masculino,4095.89,No,0.0,Activa,Santander
POL00213,2022-07-31,Vida Básico,Digital,753.86,67847.4,70,Masculino,2719.23,No,0.0,Activa,Cundinamarca
POL00214,2023-09-17,Vida Premium,Digital,1172.36,24619.559999999998,28,Masculino,3708.76,No,0.0,Activa,Bogotá
POL00215,2022-11-14,Vida Básico,Call Center,982.07,29462.100000000002,28,Masculino,3784.79,No,0.0,Activa,Valle del Cauca
POL00216,2025-06-09,Vida Básico,Broker,877.65,62313.15,66,Femenino,5654.2,No,0.0,Activa,Antioquia
POL00217,2023-07-18,Vida Básico,Call Center,1434.93,284116.14,74,Masculino,3843.18,No,0.0,Activa,Antioquia
POL00218,2022-08-29,Vida Plus,Digital,671.48,100722.0,43,Masculino,4619.61,No,0.0,Activa,Cundinamarca
